"name","mean"
"Afghanistan",0.0560730705616113
"Albania",0.107654645812865
"Algeria",0.0603645017844297
"Angola",0.0865719454673835
"Antigua and Barbuda",0.00655
"Argentina",0.0951273347137044
"Armenia",0.143333512435921
"Australia",0.0537614813046544
"Austria",0.0180340252822124
"Azerbaijan",0.125836605535506
"Bahamas",0.0756720304995112
"Bahrain",0.0983118994977461
"Bangladesh",0.0976204588826166
"Barbados",0.0665066259098037
"Belarus",0.0569813735683583
"Belgium",0.0459150443524146
"Belize",0.0713986234975562
"Benin",0.0869057032588076
"Bhutan",0.0657946760413816
"Bolivia",0.0517849193833256
"Bosnia and Herzegovina",0.0400472223148166
"Botswana",0.313107071640445
"Brazil",0.0573070801221768
"Brunei Darussalam",0.0708029655078019
"Bulgaria",0.0331579920493039
"Burkina Faso",0.0675792176399604
"Burma",0.121912291646866
"Burundi",0.25477485972123
"Cambodia",0.122117758801159
"Cameroon",0.0830076583435135
"Canada",0.0662046762302385
"Cape Verde",0.0529853104782814
"Central African Republic",0.0551209129007535
"Chad",0.0166851084784561
"Chile",0.070432305337085
"China",0.0990726854293349
"Colombia",0.0760121500506525
"Comoros",0.0633225260859956
"Congo",0.0820161274703477
"Costa Rica",0.0762818718608916
"Cote d'Ivoire",0.0534300280389637
"Croatia",0.0374976894474248
"Cuba",0.0674125414391077
"Cyprus",0.0570828076524813
"Czech Republic",0.028866603674988
"Democratic Republic of the Congo",0.0893901320200294
"Denmark",0.0854341974656776
"Djibouti",0.0683613341094927
"Dominica",0.0280376872989231
"Dominican Republic",0.0892883950220595
"Ecuador",0.105431978246541
"Egypt",0.0827571188962185
"El Salvador",0.0700411963917664
"Equatorial Guinea",0.0214483533873088
"Eritrea",0.0395013356853443
"Estonia",0.0848317892820906
"Ethiopia",0.0670461365493467
"Faroe Islands",0.106012544243481
"Fiji",0.133642431516834
"Finland",0.102646315454755
"France",0.0706695955790289
"French Polynesia",0.087027785598588
"Gabon",0.0479153029515111
"Gambia",0.0566016821727539
"Georgia",0.122290861180597
"Germany",0.0556907219560009
"Ghana",0.127850451148527
"Greece",0.057520234745318
"Grenada",0.0684347231824985
"Guatemala",0.0710472508576511
"Guinea",0.0486008841849418
"Guinea-Bissau",0.0291577950369477
"Guyana",0.0917770470644388
"Haiti",0.090094245541472
"Honduras",0.0673819641994725
"Hong Kong",0.0869483196529588
"Hungary",0.0240017004633572
"Iceland",0.0643883872061814
"India",0.0981889576589191
"Indonesia",0.097213403840978
"Iran (Islamic Republic of)",0.104437100956235
"Iraq",0.103887022641726
"Ireland",0.0717759628713652
"Israel",0.0700028259062211
"Italy",0.053495326771471
"Jamaica",0.0733046571325437
"Japan",0.083911267662945
"Jordan",0.0648150774312919
"Kazakhstan",0.120126190177959
"Kenya",0.139036189231318
"Kiribati",0.0312684725387073
"Korea, Democratic People's Republic of",0.0650425510149491
"Korea, Republic of",0.0844471723275825
"Kuwait",0.117619102073387
"Kyrgyzstan",0.0703341182599967
"Lao People's Democratic Republic",0.102903738008787
"Latvia",0.120135399738002
"Lebanon",0.0779103470894531
"Lesotho",0.0651271161267897
"Liberia",0.0751943328819765
"Libyan Arab Jamahiriya",0.0624326243147849
"Lithuania",0.070523102872651
"Luxembourg",0.0342893917788034
"Macau",0.126975520888569
"Madagascar",0.0845545692203575
"Malawi",0.197286869097748
"Malaysia",0.0892413490913342
"Maldives",0.105056721837807
"Mali",0.0546590501531314
"Malta",0.0403835188299178
"Marshall Islands",0.0102802454562217
"Mauritania",0.0584473500356432
"Mauritius",0.0617578767711906
"Mexico",0.0723954881090278
"Micronesia, Federated States of",0.0131
"Mongolia",0.14131237677342
"Montenegro",0.049396439461099
"Morocco",0.0721733169518269
"Mozambique",0.117789122701556
"Namibia",0.132426412529993
"Nauru",0.0929488461538461
"Nepal",0.0816031682210404
"Netherlands",0.0596028147272469
"New Caledonia",0.105054738640538
"New Zealand",0.120415621816336
"Nicaragua",0.0941923883606891
"Niger",0.0844119445633882
"Nigeria",0.0928425919177857
"Norway",0.0997034924917488
"Oman",0.0987367613868459
"Pakistan",0.0844127183889592
"Palestine",0.0269040395848569
"Panama",0.0684052817636161
"Papua New Guinea",0.134416420737576
"Paraguay",0.093804245169461
"Peru",0.0820425836283929
"Philippines",0.0904197036642983
"Poland",0.022803213279272
"Portugal",0.071849974040066
"Qatar",0.107355256779231
"Republic of Moldova",0.0336132890965293
"Romania",0.04475456720627
"Russia",0.0965593214974062
"Rwanda",0.182358609857386
"Saint Kitts and Nevis",0.1856
"Saint Lucia",0.0465282381915544
"Saint Vincent and the Grenadines",0.0684023046991254
"Samoa",0.0411321051120146
"Saudi Arabia",0.0767193298143105
"Senegal",0.0660743303640754
"Serbia",0.0387733397688741
"Seychelles",0.0809923308726087
"Sierra Leone",0.0752684965961738
"Singapore",0.10690350234548
"Slovakia",0.0163908921270798
"Slovenia",0.0249940456540261
"Solomon Islands",0.134271552125019
"Somalia",0.21169962632301
"South Africa",0.0923226603686908
"Spain",0.0726166564473551
"Sri Lanka",0.119548248385933
"Sudan",0.109946434211158
"Suriname",0.045918957238328
"Swaziland",0.267906031427271
"Sweden",0.0698927473690805
"Switzerland",0.0450551197983833
"Syrian Arab Republic",0.0628059181071395
"Taiwan",0.0909821453851756
"Tajikistan",0.0594256837175233
"Thailand",0.0947770803663426
"The former Yugoslav Republic of Macedonia",0.0473682233980644
"Timor-Leste",0.178178712594602
"Togo",0.0985951240622705
"Tonga",0.01483
"Trinidad and Tobago",0.0685575578114893
"Tunisia",0.0618178079287177
