"name","mean"
"Afghanistan",1.35584083355963
"Albania",1.18402102318543
"Algeria",1.4179368314425
"Angola",1.66895034496839
"Antigua and Barbuda",0.12425
"Argentina",1.76432908728311
"Armenia",1.04026664900692
"Australia",1.40827370822145
"Austria",1.37385043474166
"Azerbaijan",1.08688662440343
"Bahamas",1.36571942361289
"Bahrain",1.51660104759617
"Bangladesh",1.33145610340749
"Barbados",1.23788742816255
"Belarus",1.29014450304615
"Belgium",1.34777523822334
"Belize",1.23798880676727
"Benin",1.43482493736641
"Bhutan",1.32149216002724
"Bolivia",1.51111256664922
"Bosnia and Herzegovina",1.41257980892314
"Botswana",1.75988239173654
"Brazil",1.54804448785489
"Brunei Darussalam",1.54608901769575
"Bulgaria",1.44031026154522
"Burkina Faso",1.35896903530678
"Burma",1.54399579727685
"Burundi",1.36592208067243
"Cambodia",1.59641667592697
"Cameroon",1.22072054714987
"Canada",1.25308054809612
"Cape Verde",1.46636943946855
"Central African Republic",1.01467971991475
"Chad",0.483145910754538
"Chile",1.461934724684
"China",1.61074111024612
"Colombia",1.30392915323458
"Comoros",0.892323826791132
"Congo",1.30091461493185
"Costa Rica",1.28865226976441
"Cote d'Ivoire",1.35962500400554
"Croatia",1.4345707046914
"Cuba",1.36822016270224
"Cyprus",1.33586899075539
"Czech Republic",1.37831833791904
"Democratic Republic of the Congo",1.28550706496462
"Denmark",1.22344467239671
"Djibouti",1.35631374931966
"Dominica",0.329423745679355
"Dominican Republic",1.45483607792656
"Ecuador",1.14792184845943
"Egypt",1.3302873569698
"El Salvador",1.28284455951137
"Equatorial Guinea",0.456583824505518
"Eritrea",1.16911098747039
"Estonia",1.23279960188382
"Ethiopia",1.30640630671924
"Faroe Islands",1.14726839835315
"Fiji",1.60625669357548
"Finland",1.37243225346747
"France",1.45406723862449
"French Polynesia",1.37053238379507
"Gabon",1.38081105073446
"Gambia",1.1040207120258
"Georgia",1.09735490234551
"Germany",1.40053235663155
"Ghana",0.976616136937197
"Greece",1.40492225345556
"Grenada",1.22734080790876
"Guatemala",1.29001028375736
"Guinea",1.38103378256866
"Guinea-Bissau",0.714029735056733
"Guyana",1.14162123319773
"Haiti",1.18347124416903
"Honduras",1.25653440289064
"Hong Kong",1.2431929567659
"Hungary",1.38843173328542
"Iceland",1.26949144595453
"India",1.56588358974505
"Indonesia",1.39556793829848
"Iran (Islamic Republic of)",1.60543515708519
"Iraq",1.28707726712534
"Ireland",1.32149661837247
"Israel",1.34577198306967
"Italy",1.35794802019241
"Jamaica",1.2222527944925
"Japan",1.32556993483553
"Jordan",1.40006590827376
"Kazakhstan",1.13349699500233
"Kenya",1.33079144477248
"Kiribati",0.197860831680995
"Korea, Democratic People's Republic of",1.40986520476677
"Korea, Republic of",1.43361173143714
"Kuwait",1.59721035053985
"Kyrgyzstan",1.24911924581257
"Lao People's Democratic Republic",1.64517241654182
"Latvia",1.13925059475001
"Lebanon",1.266116074834
