"name","mean"
"Afghanistan",0.0315922771481867
"Albania",0.0304130337615497
"Algeria",0.0261491716723458
"Angola",0.0327714820534435
"Antigua and Barbuda",0.0046
"Argentina",0.0430234818514345
"Armenia",0.0596207766870604
"Australia",0.0230061294454728
"Austria",-0.0178858471041176
"Azerbaijan",0.0511446437054359
"Bahamas",0.0438563031395946
"Bahrain",0.0387944523742609
"Bangladesh",0.0493315811164881
"Barbados",0.0463468135076481
"Belarus",0.0316539944931488
"Belgium",0.0173847283531284
"Belize",0.0468885088412448
"Benin",0.0378101911707026
"Bhutan",0.0416565628624448
"Bolivia",0.02358590873784
"Bosnia and Herzegovina",-0.0196885337821929
"Botswana",0.207041552583814
"Brazil",0.0282557194481518
"Brunei Darussalam",0.03483191859783
"Bulgaria",-0.0222774631398542
"Burkina Faso",0.0274736560308904
"Burma",0.0493040048726765
"Burundi",0.151519350774183
"Cambodia",0.0515572300580471
"Cameroon",0.0377507333736194
"Canada",0.0460290644738264
"Cape Verde",0.0230515269714431
"Central African Republic",0.0373538128617312
"Chad",0.015091166746968
"Chile",0.03605180357448
"China",0.0390547432448787
"Colombia",0.0431858688428322
"Comoros",0.0329016375155053
"Congo",0.0331102949971628
"Costa Rica",0.0465142213502036
"Cote d'Ivoire",0.0234674866434471
"Croatia",-0.0140407106101848
"Cuba",0.0311111239413636
"Cyprus",0.00274428983117807
"Czech Republic",-0.00419911353334405
"Democratic Republic of the Congo",0.0411142227737107
"Denmark",0.035718385892453
"Djibouti",0.0272072497684039
"Dominica",0.0168491471944153
"Dominican Republic",0.0427138473359599
"Ecuador",0.0549442022651719
"Egypt",0.036672535432899
"El Salvador",0.0451136001489421
"Equatorial Guinea",0.00634610051739459
"Eritrea",0.00802493710165243
"Estonia",0.0412382574851021
"Ethiopia",0.0299925825711273
"Faroe Islands",0.0434996305099202
"Fiji",0.0497950067883818
"Finland",0.0455069628960679
"France",0.0199034041419788
"French Polynesia",0.0475868281031671
"Gabon",0.0211816688850766
"Gambia",0.0228432346258839
"Georgia",0.051177493548734
"Germany",0.0183452828667228
"Ghana",0.0635438005402835
"Greece",-0.00184656060778551
"Grenada",0.0470668498525749
"Guatemala",0.0449309625001399
"Guinea",0.0155606821487559
"Guinea-Bissau",0.00626283370304498
"Guyana",0.0536411314805962
"Haiti",0.0517114693751956
"Honduras",0.0455898074287712
"Hong Kong",0.0529286166660402
"Hungary",-0.0121977377414318
"Iceland",0.0240173431746132
"India",0.0478198391890438
"Indonesia",0.0464530987984547
"Iran (Islamic Republic of)",0.0351312737507501
"Iraq",0.044334200694516
"Ireland",0.032281857565557
"Israel",0.0327240604104234
"Italy",0.00948140020449943
"Jamaica",0.0482280596308881
"Japan",0.0466559835455845
"Jordan",0.0204360366164758
"Kazakhstan",0.0516814741787557
"Kenya",0.0742911274905185
"Kiribati",0.0129975160257277
"Korea, Democratic People's Republic of",0.0500246671213356
"Korea, Republic of",0.0400378111566993
"Kuwait",0.0442088270599217
"Kyrgyzstan",0.0256362283581267
"Lao People's Democratic Republic",0.0612250234225979
"Latvia",0.0565991778531802
"Lebanon",0.0296352523046674
"Lesotho",0.032315014813868
"Liberia",0.045450142032036
"Libyan Arab Jamahiriya",0.0199731622006139
"Lithuania",0.0363976398082723
"Luxembourg",0.0112009660076818
"Macau",0.0663700561437033
"Madagascar",0.0441824403312564
"Malawi",0.114635512351362
"Malaysia",0.0373715203448732
"Maldives",0.0456893379654809
"Mali",0.0227341687941225
"Malta",-0.0101099828477378
"Marshall Islands",0.00588182555589771
"Mauritania",0.0259344494582856
"Mauritius",0.025361390823452
"Mexico",0.0472301728787144
"Micronesia, Federated States of",0.0092
"Mongolia",0.0590619464415018
"Montenegro",-0.0157128455424468
"Morocco",0.0306493687042183
"Mozambique",0.0565795391241328
"Namibia",0.0771591427631962
"Nauru",0.0427726923076923
"Nepal",0.0514878492610785
"Netherlands",0.0222552920169317
"New Caledonia",0.0341004791092698
"New Zealand",0.0439198580282301
"Nicaragua",0.0459793667498443
"Niger",0.0215770168813311
"Nigeria",0.0491929933920183
"Norway",0.0325045810406605
"Oman",0.0423945505887216
"Pakistan",0.0452036660904784
"Palestine",0.0114228202814947
"Panama",0.0436509997102383
"Papua New Guinea",0.0504355065795523
"Paraguay",0.0299290701380106
"Peru",0.0449616849967176
"Philippines",0.0485920391450097
"Poland",-0.00357910655022093
"Portugal",0.0271165547388771
"Qatar",0.0482381474802009
"Republic of Moldova",0.00215890373619811
"Romania",-0.0180838194385335
"Russia",0.0357043772546505
"Rwanda",0.0973749681611634
"Saint Kitts and Nevis",0.1291
"Saint Lucia",0.0236855105671338
"Saint Vincent and the Grenadines",0.0470550648725081
"Samoa",0.0124122368609982
"Saudi Arabia",0.0320815058672088
"Senegal",0.0285283683867313
"Serbia",-0.0225279025294147
"Seychelles",0.0488977660605944
"Sierra Leone",0.0363417894648067
"Singapore",0.0523255790261308
"Slovakia",-0.0186603850883864
"Slovenia",-0.021701401659877
"Solomon Islands",0.0503133241988264
"Somalia",0.123089409834953
"South Africa",0.0416739371370806
"Spain",0.024650447278234
"Sri Lanka",0.0624794126546031
"Sudan",0.0429886803403877
"Suriname",0.0230745940555899
"Swaziland",0.173685713472064
"Sweden",0.0267711080210381
"Switzerland",0.00867687006333328
"Syrian Arab Republic",0.0174416837133614
"Taiwan",0.0423980754316959
"Tajikistan",0.0229187756974006
"Thailand",0.0403279700314172
"The former Yugoslav Republic of Macedonia",-0.0193009785602399
"Timor-Leste",0.102815819462229
"Togo",0.0470993506648385
